linkedin_follower_growth_1m,current_max_ratio,earliest_valid_month,headcount_growth_1m,headcount_volatility_score,headcount_growth_3m,employee_highlight_top_institution_experience_count,years_since_funding,trailing_growth_max,linkedin_follower_growth_6m,headcount_growth_6m,emp_highlight_count,trailing_growth_std,linkedin_follower_count_0m,trailing_growth_avg,linkedin_follower_count_max,emp_role_entropy,United States Sales,linkedin_follower_growth_3m,linkedin_follower_count_volatility,headcount_0m,adj_emp_delta_6m,United States Engineering,investor_1,twitter_follower_count_volatility,business_function_entropy,twitter_follower_count_max,twitter_follower_count_0m,employee_highlight_seasoned_count,years_since_founding,employee_highlight_Prior VC Backed Executive,headcount_concavity,num_investors,entity_urn
1.2566585540771484,3.2580645161290325,17,1.0,1.5752915696504457,1.1538461446762085,62,2.4695414099931554,7.769230769230769,3.809174299240112,1.875,80,1.89388966069114,23548.0,1.7800086487586488,23548.0,1.296886433752774,4,2.237068891525269,5453.3585681855375,101.0,6.909677419354839,23,3,1014.7839019451671,0.7963116401738131,4562.0,4562.0,10,4.347945205479452,3,0.6363636363636364,18,urn:harmonic:company:1443095
1.0292478799819946,11.944444444444445,17,0.9473684430122375,1.950925472482666,0.8571428656578064,34,2.2313483915126624,10.238095238095235,1.3761638402938845,1.2000000476837158,54,2.604266478544267,3834.0,2.0186015373515374,3834.0,1.810614474895723,1,1.0883651971817017,817.9220443222173,215.0,2.55,1,1,-1.0,0.4505612088663046,-1.0,-1.0,20,3.964383561643836,8,0.5454545454545454,10,urn:harmonic:company:1990249
1.0238248109817505,1.8148148148148149,17,1.0625,0.7454170775234781,1.1333333253860474,24,2.43668720054757,3.2666666666666666,1.2679425477981567,1.1333333253860474,38,0.608073899682299,5935.0,1.4221730475406946,5935.0,1.7052040713947592,0,1.0988250970840454,1144.7921065941457,49.0,1.6962962962962964,1,1,-1.0,0.0,-1.0,-1.0,26,4.446575342465754,9,0.3636363636363636,18,urn:harmonic:company:3075425
1.073770523071289,7.181818181818182,6,1.0,1.3376110424661471,1.100000023841858,43,2.299794661190965,-1.0,-1.0,1.0666667222976685,63,-1.0,17285.0,-1.0,17285.0,1.649848467043874,1,-1.0,9854.831522321085,79.0,0.5843754571629446,3,3,3054.7661667193665,0.4505612088663046,5306.0,5306.0,34,2.964383561643836,12,0.5454545454545454,21,urn:harmonic:company:10819970
1.0803571939468384,14.571428571428571,7,0.875,1.9536315888210984,1.1666666269302368,19,2.5763175906913074,17.0,2.240740776062012,2.3333332538604736,47,6.875284863197551,3744.0,4.735238095238095,3744.0,1.9324693882241912,1,1.4756097793579102,1298.730671518486,102.0,3.4,1,3,-1.0,0.4505612088663046,-1.0,-1.0,34,4.967123287671233,14,0.25,7,urn:harmonic:company:3928206
1.051383376121521,1.7058823529411764,17,1.0493826866149902,0.5364076916372867,1.1643835306167605,10,2.327173169062286,1.9863013698630136,1.399999976158142,1.5740740299224854,15,0.2385776107079492,3193.0,1.2942667609917506,3193.0,1.5812475036363791,6,1.173098087310791,624.1336400592382,145.0,26.35,4,0,21.598781283701555,0.4505612088663046,91.0,91.0,20,5.967123287671233,4,0.5454545454545454,5,urn:harmonic:company:1974779
1.1156601905822754,1.9333333333333331,17,1.1111111640930176,0.6149256676527391,1.2121212482452393,17,2.0917180013689256,2.636363636363636,1.713836431503296,1.8181818723678589,33,0.4542574373274821,5697.0,1.298919709517535,5697.0,1.738855415178857,2,1.2281689643859863,1187.4415843905203,87.0,17.48,6,2,52.06770353716387,0.8982053397041498,257.0,257.0,28,5.967123287671233,13,0.4545454545454545,8,urn:harmonic:company:6585
-1.0,4.6923076923076925,6,6.5,2.352996495482678,6.5,42,2.132785763175907,61.0,-1.0,4.666666507720947,55,34.64101615137755,12125.0,21.0,12125.0,1.6007604218884992,0,-1.0,-1.0,122.0,9.742857052355394,1,1,-1.0,0.0,-1.0,-1.0,22,4.967123287671233,6,1.0,15,urn:harmonic:company:1678507
1.0505772829055786,1.5344827586206895,17,1.0714285373687744,0.6635107148556318,1.1538461446762085,30,2.778918548939082,2.282051282051282,1.5911740064620972,1.5,59,0.3557064391359117,5979.0,1.425517427726571,5979.0,1.9559697125536484,1,1.2647253274917605,1237.9560425954924,89.0,13.655172413793103,2,2,28.66552665311861,0.6890092384766586,118.0,118.0,31,4.967123287671233,18,0.5454545454545454,15,urn:harmonic:company:802310
1.1074692010879517,4.175,17,1.0,1.6229238356261175,1.2272727489471436,32,2.5489390828199863,7.590909090909091,3.1523261070251465,1.5882352590560913,47,1.810181049117948,42916.0,1.8513350619968267,42916.0,1.5620200737915484,0,1.6132872104644775,9773.400004453866,167.0,6.675000000000001,4,1,5579.533682813203,0.8744400947413469,25595.0,25595.0,5,4.131506849315069,0,0.4545454545454545,12,urn:harmonic:company:1450255
1.0610432624816897,1.5,17,1.1538461446762085,0.5846744379809042,1.3043478727340698,26,1.897330595482546,2.888888888888889,1.2687458992004397,1.1538461446762085,38,0.7385679256981245,2838.0,1.4996869427815718,2838.0,1.672436291529943,2,1.141492486000061,778.3429776452494,45.0,4.0,4,4,87.41105656870597,1.2658567518727373,208.0,204.0,14,3.964383561643836,8,0.7272727272727273,16,urn:harmonic:company:2003862
1.0711147785186768,1.4852941176470589,17,0.9444444179534912,0.3111606773471409,1.0,42,2.0752908966461328,1.4852941176470589,1.2074848413467407,1.1147540807724,61,0.1165071501053701,11832.0,1.1673437702110805,11832.0,1.5334139961249886,6,1.1367875337600708,2353.316383319506,101.0,4.793939393939395,3,2,30.41929212413289,0.9120599268955134,143.0,143.0,27,4.967123287671233,12,0.3636363636363636,12,urn:harmonic:company:1520412
-1.0,1.0,6,-1.0,0.0456198291747323,1.100000023841858,8,0.8843258042436687,-1.0,-1.0,1.0666667222976685,17,-1.0,13635.0,-1.0,13635.0,1.2508890175891656,2,-1.0,-1.0,86.0,5.047830035926006,0,1,-1.0,0.9217999587117628,1784.0,1784.0,23,6.967123287671233,8,0.5454545454545454,36,urn:harmonic:company:34985134
1.1259727478027344,1.4107142857142858,15,1.0275229215621948,1.0063883520515695,1.0873786211013794,26,1.6372347707049966,3.9166666666666665,2.232401132583618,2.9473683834075928,44,0.7863042904582223,4151.0,2.0646457643564324,4151.0,1.750243959745391,2,1.163901448249817,1079.1405222058277,158.0,68.4712643678161,6,5,0.4879500364742666,1.542181820943941,32.0,31.0,37,2.964383561643836,13,0.5454545454545454,18,urn:harmonic:company:10356056
1.048387050628662,2.5,14,1.090909123420715,0.6328406101313512,0.9230769276618958,29,3.885010266940452,2.3076923076923075,2.1261682510375977,1.2000000476837158,39,0.415913796067179,4225.0,1.4576617826617826,4225.0,1.6598763223689337,2,1.2133333683013916,972.1632900392814,30.0,1.7,3,3,99.81092014514134,0.4505612088663046,368.0,368.0,20,5.967123287671233,6,0.5454545454545454,19,urn:harmonic:company:2178345
1.131338357925415,1.2173913043478262,17,1.0,0.2117959218830516,1.097561001777649,34,2.2012320328542097,1.3658536585365857,1.866940975189209,1.1842105388641355,54,0.0987642611568615,5026.0,1.140865260733637,5026.0,1.5846204709440854,0,1.3220009803771973,1019.2390936700572,56.0,6.178260869565218,6,2,6.500125690086931,0.8305178252872478,101.0,101.0,19,7.967123287671233,17,0.6363636363636364,12,urn:harmonic:company:169426
